"OBJECTID_1","OBJECTID","SchoolID","County","SchoolName","Address","City","State","Zipcode","Website","SchoolType","coords.x1","coords.x2"
429,429,129853,"Hoke","Precious Haven Learning Academy","181 Bostic Road","Raeford","NC",28376,NA,"Independent",603043.370683207,136971.648299521
430,430,119442,"Mecklenburg","Charlotte Leadership Academy","1326 Prince Hall Avenue","Charlotte","NC",28206,NA,"Independent",442341.245681857,167876.103769496
431,431,72626,"Hoke","Rockfish Christian Academy","7604 Rockfish Rd","Raeford","NC",28376,"www.rockfishchristian.com","Religious",603664.938360308,137770.579516325
432,432,59501,"Mecklenburg","Charlotte Preparatory School","212 Boyce Road","Charlotte","NC",28211,"www.charlotteprep.com","Independent",448368.674657573,156468.368847338
433,433,59481,"Hyde","Hope Mennonite School","25 Mainstem Road","Pantego","NC",27860,NA,"Religious",829137.058377217,210805.264659133
434,434,108111,"Guilford","Serenity Counseling & Resource Ctr.","2211 W. Meadowview Rd Ste 10","Greensboro","NC",27407,NA,"Independent",533896.165425929,255189.437103925
435,435,72627,"Iredell","Academy of Excellence","612 South Race Street","Statesville","NC",28677,NA,"Religious",438483.952727095,226390.635699799
436,436,59662,"Guilford","Shining Light Academy","4530 W. Wendover Avenue","Greensboro","NC",27409,"www.slanc.org","Religious",527787.767239338,255910.375242263
437,437,92085,"Mecklenburg","Charlotte United Christian Academy","7640 Wallace Road","Charlotte","NC",28212,"www.cucawarriors.com","Religious",450577.219414927,158974.727982316
438,438,72628,"Iredell","Calvary Academy","137 Princess Loop","Troutman","NC",28166,NA,"Religious",439318.991944441,218135.123950571
439,439,59463,"Guilford","St. Pius X Catholic School","2200 North Elm Street","Greensboro","NC",27408,"www.spxschool.com","Religious",538656.785204966,261343.975612687
440,440,59620,"Mecklenburg","Chesterbrook Academy","7801 Ballantyne Commons Parkway","Charlotte","NC",28277,"www.ballantyne.chesterbrookacademy.com","Independent",444484.840073548,146657.541202344
441,441,59266,"Iredell","Cornerstone Christian Academy","650 Glover Street","Statesville","NC",28625,"www.welovecornerstone.com","Religious",441890.387911529,226998.726826202
