"SchoolName","Address","City","Zipcode","County","geometry"
"Heritage Christian School","239 Mount Herman Road","Hudson",28638,"Caldwell",c(384844.497511516, 236461.224321852)
"Beaufort Christian Academy","P.O. Box 2069","Beaufort",28516,"Carteret",c(824054.588393892, 109883.720411517)
"Avonlea School","25 Locust Cove Road","Weaverville",28787,"Buncombe",c(296214.155944375, 224179.636087039)
"Grace Christian School","520 Roberts Road","Newport",28570,"Carteret",c(803754.949080479, 115934.821255023)
"Gramercy Christian School","8170 Highway 70","Newport",28570,"Carteret",c(803741.979391954, 121722.546875861)
"New Life Christian Academy","301 Friendly Road","Morehead City",28557,"Carteret",c(814037.989422758, 110984.640857315)
"Newport Christian Academy","8125 Highway 70 E.","Newport",28532,"Carteret",c(799343.605490542, 128711.771614565)
"St. Leo Catholic School","333 Springdale Avenue","Winston-Salem",27104,"Forsyth",c(494922.345918732, 261570.600419985)
"Opportunity School","145 Eckerd Road","Newport",28570,"Carteret",c(800780.950559908, 111904.463401686)
"Salt and Light Academy","544 Cedar Point Blvd.","Cedar Point",28584,"Carteret",c(784246.560167482, 104729.782491535)
"Azalea Mountain School","587 Haywood Road","Asheville",28806,"Buncombe",c(284499.897556823, 208734.097858366)
"St. Egbert Catholic School","1705 Evans Street","Morehead City",28557,"Carteret",c(817843.933268092, 110144.583471511)
"Christian Family Academy","4643 County Home Road","Conover",28613,"Catawba",c(406214.480152349, 224901.637920525)
"Concordia Christian Day Sch.","215 5th Avenue, SE","Conover",28613,"Catawba",c(409128.608963029, 218971.287247445)
"Cornerstone Christian Academy","263 Third Avenue, NW","Hickory",28601,"Catawba",c(397811.051406361, 222763.704676658)
"Summit School","2100 Reynolda Road","Winston-Salem",27104,"Forsyth",c(493974.450557771, 264156.257781943)
"Hickory Christian Academy","3260  6th Street Drive NW","Hickory",28601,"Catawba",c(397965.343531998, 227640.558337878)
"Hickory Day School","2535 21st Avenue, NE","Hickory",28601,"Catawba",c(403128.269405333, 224844.362970158)
"Black Mountain Academy","501 W. State Street","Black Mountain",28711,"Buncombe",c(308202.309102212, 211770.863088137)
"Lincoln Catawba Christian Academy","935 Island Ford Road","Maiden",28650,"Catawba",c(410235.910232544, 202618.965719221)
"Montessori at Sandy Ford School","2931 Sandy Ford Road","Newton",28658,"Catawba",c(402611.347689744, 214386.803901976)
"Triad Baptist Christian Academy","1175 South Main Street","Kernersville",27284,"Forsyth",c(510433.664126148, 261975.458805235)
"NC Boys Academy","PO Box 11460","Hickory",28603,"Catawba",c(393058.452993067, 221119.882282749)
"Wanchese Christian Academy","P.O. Box 201","Wanchese",27981,"Dare",c(912727.984658498, 237222.735756312)
"St. John's Lutheran School","2126 St. John's Church Rd.","Conover",28613,"Catawba",c(411881.086515795, 221960.872677345)
"Bread of Life Learning Center","P.O. Box 1724","Weaverville",28787,"Buncombe",c(287314.283390631, 221918.936950782)
"Vineyard School","3637 Old Vineyard Road","Winston-Salem",27104,"Forsyth",c(490908.896434759, 259018.581222922)
"St. Stephen's Lutheran School","2304 Springs Road  NE","Hickory",28601,"Catawba",c(402335.456460065, 223749.762212584)
"Buckner School","PO Box 1538","Candler",28715,"Buncombe",c(277979.897093972, 205208.129162893)
"Tabernacle Christian School","1225 29th Avenue Drive, NE","Hickory",28601,"Catawba",c(400906.530992339, 226218.689604716)
"Winston Salem Christian School","3730 University Parkway","Winston-Salem",27106,"Forsyth",c(494641.46314543, 266170.369842436)
"Tri-City Christian School","P.O. Box 1690","Conover",28613,"Catawba",c(408532.024089286, 218953.345458498)
"Canterbury Classical School","PO Box 16981","Asheville",28816,"Buncombe",c(283203.586836117, 209483.508512396)
"University Christian High School","602 7th Avenue NE","Hickory",28601,"Catawba",c(399047.818248324, 223085.652293384)
"WH Johnston SDA School","174 23rd Street N.W.","Hickory",28601,"Catawba",c(394560.792794381, 222756.522316946)
"Winston-Salem Street School","630 West 6th Street, Suite 101","Winston-Salem",27101,"Forsyth",c(496955.769085217, 261480.462109586)
"Carolina Day School","1345 Hendersonville Road","Asheville",28803,"Buncombe",c(289577.820529144, 202258.436577978)
"Changing Hearts Boarding Sch.","PO Box 416","Barnardsville",28709,"Buncombe",c(296911.772955429, 229992.805954423)
"Woodland Baptist Chr. Sch.","1175 Bethania Rural Hall Road","Winston-Salem",27106,"Forsyth",c(492115.296784017, 273151.339490622)
"Apostolic Lighthouse Christian School","PO Box 1020","Siler City",27344,"Chatham",c(568172.058947746, 219465.222755058)
"Auldern Academy","990 Glovers Grove Church Rd","Siler City",27344,"Chatham",c(578790.655579667, 213730.176227903)
"Children's Earth School","86 Bradley St.","Asheville",28806,"Buncombe",c(285750.913985976, 207875.237527875)
"Calvary Christian School","394 Ferrells Bridge Road","Louisburg",27549,"Franklin",c(676892.229848897, 248476.130774479)
"Community Independent School","2089 Lamont Norwood Road","Pittsboro",27312,"Chatham",c(596351.313606308, 232583.203383265)
"Grace Haven Academy","P.O. Box 1412","Graham",27253,"Chatham",c(573228.16596618, 257756.7916377)
"Haw River Christian Academy","2428 Silk Hope Gum Springs Rd.","Pittsboro",27312,"Chatham",c(584970.572016384, 224218.618368745)
"Christ School","500 Christ School Road","Arden",28704,"Buncombe",c(293033.509044104, 196022.200863646)
"True Light Shines Academy","7428 Pearces Road","Louisburg",27549,"Franklin",c(675372.566166169, 247900.467426436)
"Holy Youth Christian Academy","615 Old Lystra Road","Chapel Hill",27517,"Chatham",c(602630.000663591, 232931.736306351)
"Christian Heritage Academy","420 Swannanoa River Road","Asheville",28805,"Buncombe",c(291090.628770927, 208640.269915882)
"Jordan Lake School of the Arts","1434 Farrington Road Ste 100","Apex",27523,"Chatham",c(608743.455879683, 222480.168763502)
"Assembly of Faith Chr. Sch.","1030 Lower Dallas Hwy","Dallas",28034,"Gaston",c(413443.129234074, 175436.000188593)
"Moonrise Academy","P.O. Box 5116","Chapel Hill",27514,"Chatham",c(605080.994859433, 240404.186054574)
"ABC of NC Child Develop. Ctr","905 Friedberg Church Rd.","Winston-Salem",27127,"Davidson",c(494719.358992016, 249804.447635967)
"East Wind Christian Academy","1567 Patton Ave.","Asheville",28806,"Buncombe",c(282074.826562994, 208382.190655308)
"Community Christian Academy","616 Athenia Place","Bessemer City",28016,"Gaston",c(403035.227910909, 171958.962150436)
"Our Neighborhood School","87 Thompson Street","Pittsboro",27312,"Chatham",c(593737.819347267, 218803.661398424)
"Three Springs of NC School","990 Glovers Grove Church Rd.","Siler City",27344,"Chatham",c(578790.655579667, 213730.176227903)
"Cramerton Christian Academy","426 Woodlawn Extension","Cramerton",28032,"Gaston",c(419895.021173999, 168004.255805351)
"Eliada Academy","P.O. Box 16708","Asheville",28816,"Buncombe",c(283203.586836117, 209483.508512396)
"Faith Christian Academy","826 Stanley-Spencer Mountain Rd","Gastonia",28056,"Gaston",c(419434.701480446, 177399.054299267)
"Murphy Adventist School","1584 Old Ranger Rd.","Murphy",28906,"Cherokee",c(148607.968139008, 158232.523602)
"Emmanuel Lutheran School","51 Wilburn Place","Asheville",28806,"Buncombe",c(283169.936843498, 209516.952105653)
"Refuge Christian School","357 Graham Road","Murphy",28906,"Cherokee",c(140639.707690536, 156163.334479647)
"First Wesleyan Christian School","208-A S. Church Street","Gastonia",28054,"Gaston",c(412339.27300612, 169894.761386966)
"Shepherd Academy","68 Fairfax Drive","Murphy",28906,"Cherokee",c(149411.910374108, 158756.394887634)
"Euan Robertson Academy","P.O. Box 17265","Asheville",28816,"Buncombe",c(283203.586836117, 209483.508512396)
"Chowan Multi-Purpose Juvenile Sch","110 Substation Road","Edenton",27932,"Chowan",c(828030.00700118, 262655.674130797)
"Gaston Christian School","1625 Lowell Bethesda Road","Gastonia",28056,"Gaston",c(418828.408409166, 168680.182572836)
"French Broad River Academy - Boys","1900 Riverside Drive","Asheville",28804,"Buncombe",c(283708.117181045, 214921.708460566)
"Gaston Day School","2001 Gaston Day School Road","Gastonia",28056,"Gaston",c(414651.955538445, 163285.775475893)
"Carolina Christian Academy","PO Box 1254","Hayesville",28904,"Clay",c(170077.56352818, 153949.732576337)
"Charity Christian School","PO Box 276","Fallston",28042,"Cleveland",c(382304.46360729, 189128.436116077)
"Fallston Christian School","P.O. Box 336","Fallston",28042,"Cleveland",c(382304.46360729, 189128.436116077)
"French Broad River Academy - Girls","191 Lyman Street, #316","Asheville",28801,"Buncombe",c(286279.590280434, 208469.503597477)
"Hope Collegiate Academy","625 E. 2nd Avenue, Suite 1","Gastonia",28054,"Gaston",c(412048.617266378, 169746.997021899)
"Bethany Christian School","584 Tower Rd.","Thomasville",27360,"Davidson",c(513882.522985654, 234324.122672422)
"Carolina Christian Academy","367 Academy Drive","Thomasville",27360,"Davidson",c(508325.055308559, 229946.430390792)
"Galilee Christian Academy","101 E Park Avenue","Lexington",27292,"Davidson",c(500222.94777999, 232986.790354999)
"Grace Christian Academy","260 Range Road","Kings Mountain",28086,"Cleveland",c(387233.484611396, 166277.307138838)
"Nelson Academy","103 Mendota Avenue","Lexington",27292,"Davidson",c(494810.248777629, 228990.208087245)
"Kings View Christian Academy","4432 Kings Mountain Hwy.","Bessemer City",28016,"Gaston",c(402399.098715228, 169165.825054895)
"Gospel Baptist Christian Academy","32 Union Street","Asheville",28804,"Buncombe",c(285464.040003292, 213959.808346773)
"New Hope Christian Academy","105 Pineywood Street","Thomasville",27360,"Davidson",c(509766.164802723, 237015.972055258)
"Trinity III Academy","810-1 West Dixon Boulevard","Shelby",28152,"Cleveland",c(377166.642323838, 173049.307600901)
"Montessori Community School West","123 W. Pennsylvania Ave.","Bessemer City",28016,"Gaston",c(401751.906991028, 172581.260231756)
"Paramount Christian Academy","109 Dusty Lane","Thomasville",27360,"Davidson",c(509871.7025009, 231508.068433899)
"Willow Tree Community School","P.O. Box 753","Boiling Springs",28017,"Cleveland",c(366983.354348579, 169436.277879188)
"Hanger Hall School for Girls","64 W.T. Weaver Blvd.","Asheville",28804,"Buncombe",c(287333.408697886, 212604.000615025)
"Riverwood Academy","P.O. Box 1419","Lexington",27293,"Davidson",c(496319.519583646, 230968.303642455)
"Sheets Memorial Christian School","307 Holt Street","Lexington",27292,"Davidson",c(495665.384299947, 229320.432304516)
"St. Michael's Catholic School","704 St. Michael's Lane","Gastonia",28052,"Gaston",c(409574.008876121, 168194.086582299)
"Carolina Adventist Academy","P.O. Box 1937","Whiteville",28472,"Columbus",c(636854.803152519, 64062.5215586517)
"Triad Academy","905 Friedberg Church Road","Winston-Salem",27127,"Davidson",c(494719.358992016, 249804.447635967)
"Union Grove Christian School","2295 Union Grove Road","Lexington",27295,"Davidson",c(495690.561854076, 247622.511888379)
"Columbus Christian Academy","623 Warrior Trail","Whiteville",28472,"Columbus",c(638181.919695685, 66382.5349294171)
"Walters Grove Baptist Academy","2610 Cid Rd.","Lexington",27292,"Davidson",c(513026.038216716, 216754.299453562)
"Heirborne Christian Academy","P.O. Box 592","Asheville",28802,"Buncombe",c(287524.813034915, 210189.131922787)
"Westchester Country Day School","2045 North Old Greensboro Rd","High Point",27265,"Davidson",c(511786.540016703, 246965.68799538)
"Faith Christian Academy","P.O. Box 469","Delco",28436,"Columbus",c(673672.589412441, 59268.7717696391)
"Trinity Baptist Academy","2722 US Highway 601 South","Mocksville",27028,"Davie",c(471372.07450447, 231527.468968272)
"Mill Branch Christian Academy","739 Washington Street","Whiteville",28473,"Columbus",c(635598.452244529, 65246.8341164235)
"Stanley Christian Academy","P.O. Box 307","Stanley",28164,"Gaston",c(419171.144268999, 180186.872705856)
"Katuah Sudbury School","178A Westwood Place","Asheville",28806,"Buncombe",c(285478.725856322, 209284.916532936)
"New Life Christian Academy","1386 Delco Prosper Road","Delco",28436,"Columbus",c(681466.45282408, 60749.1362243704)
"Cedar Fork Mennonite School","1362 Fountaintown Road","Beulaville",28518,"Duplin",c(730086.925191481, 123675.170072081)
"Champion Educational Center","P.O. Box 470","Beulaville",28518,"Duplin",c(721343.999927036, 130790.311658848)
"New Hope Christian Academy","P.O. Box 248","Wallace",28466,"Duplin",c(701567.975300361, 109882.020285746)
"Learning Community Sch","P.O. Box 1143","Black Mountain",28711,"Buncombe",c(308498.956744961, 212294.386074543)
"Tabernacle Christian Academy","2128 Dallas-Cherryville Highway","Dallas",28034,"Gaston",c(408112.475079011, 176304.321363859)
"Solomon Assessment Center","400 Flemington Drive","Lake Waccamaw",28450,"Columbus",c(653418.743011897, 63134.5930209178)
"Tri-County Academy","PO Box 692","Wallace",28466,"Duplin",c(701567.975300361, 109882.020285746)
"West Duplin Christian Academy","987 NC 24 & 50 Highways","Warsaw",28398,"Duplin",c(696366.511501131, 137795.347245922)
"Light of Wisdom School","2 Science of Mind Way","Asheville",28806,"Buncombe",c(282468.251368621, 207114.479319135)
"Victory Christian Academy","310 Carolina Avenue","Gastonia",28052,"Gaston",c(410112.693655425, 167668.233688768)
"Zelophehad's Daughters Christian Academy","PO Box 129","Magnolia",28453,"Duplin",c(696186.247066341, 127371.920734247)
"Agape Corner School","1217 Holloway Street","Durham",27703,"Durham",c(620470.333798171, 248993.572645968)
"Maccabi Academy","43 N. Liberty St., Suite 100","Asheville",28801,"Buncombe",c(287898.160268859, 211503.775241816)
"Tri County Academy of S.T.E.M.","44 Dream Avenue","Delco",28436,"Columbus",c(673672.589412441, 59268.7717696391)
"AHES-Genesis Schools of Hope","3209 Yorktown Avenue, Suite 171","Durham",27713,"Durham",c(619170.332568235, 242498.455169093)
"What About the Children Academy","PO Box 471","Gastonia",28053,"Gaston",c(410687.582760385, 170102.788861202)
"Al-Huda Academy","5104 Revere Road","Durham",27713,"Durham",c(617770.475190184, 237775.397611879)
"B.E. Academy","P.O. Box 3552","Durham",27702,"Durham",c(618595.83590531, 249268.690918231)
"Montford Hall","75 Zillicoa Street","Asheville",28801,"Buncombe",c(286409.149187405, 212113.558927277)
"Mount Nebo Christian Academy","P.O. Box 97","Robbinsville",28771,"Graham",c(172729.273367085, 184971.312850133)
"Mount Pisgah Academy","75 Academy Drive","Candler",28715,"Buncombe",c(277010.413922605, 207949.738393484)
"Christian Faith Center Acad.","P.O. Box 510","Creedmoor",27522,"Granville",c(637941.721481458, 262696.09539107)
"Bethesda Christian Academy","1914 S. Miami Boulevard","Durham",27703,"Durham",c(624191.239203623, 243349.543701043)
"Victory Christian Academy","27139 Andrew Jackson Hwy East","Delco",28436,"Columbus",c(683206.695465676, 62289.2604579069)
"Camelot Academy","809 West Proctor Street","Durham",27707,"Durham",c(617526.960922456, 248534.313694576)
"Waccamaw Academy","P.O. Box 507","Whiteville",28472,"Columbus",c(636854.803152519, 64062.5215586517)
"Cresset Christian Academy","3707 Garrett Road","Durham",27707,"Durham",c(611740.833831897, 246577.741613274)
"Mount Sheba Baptist Acad.","20 Old Jupiter Road","Weaverville",28787,"Buncombe",c(282245.76871048, 227820.804856393)
"Duke School","3716 Erwin Road","Durham",27705,"Durham",c(612591.54979751, 249466.223076383)
"Durham Academy","3601 Ridge Road","Durham",27705,"Durham",c(612307.472119521, 247132.934984133)
"Covenant of Faith Christian Academy","3035 Hwy. 123 North","Hookerton",28538,"Greene",c(738388.826778742, 190863.297691802)
"Durham Nativity School","P.O. Box 3537","Durham",27702,"Durham",c(618595.83590531, 249268.690918231)
"Nazarene Christian School","385 Hazel Mill Road","Asheville",28806,"Buncombe",c(284184.692736575, 210185.328655113)
"Empowered Minds Academy","1217 Holloway Street","Durham",27701,"Durham",c(620497.322392368, 248993.092245622)
"Faith Assembly Christian Academy","3120 Fayetteville Street","Durham",27707,"Durham",c(617863.948998322, 245450.14175413)
"Fellowship Baptist Academy","515 Southerland Street","Durham",27703,"Durham",c(622160.69874418, 249527.297702299)
"Mount Calvary Christian Acad.","P.O. Box 250","Hookerton",28538,"Greene",c(737584.669769932, 186298.95380461)
"New City Christian School","PO Box 6412","Asheville",28816,"Buncombe",c(283203.586836117, 209483.508512396)
"Five Oaks SDA School","4124 Farrington Road","Durham",27707,"Durham",c(611007.426432235, 243142.371966245)
"Annunciation Catholic School","246 E. Main Street","Havelock",28532,"Craven",c(801189.304653239, 127032.930050619)
"Adess Day Treatment School","2504 New Garden Road East","Greensboro",27455,"Guilford",c(534745.752691836, 264795.794933952)
"Calvary Baptist Church School","P.O. Box 1089","New Bern",28563,"Craven",c(788260.091265539, 152185.162848201)
"New Classical Academy","671 Sand Hill Rd.","Asheville",28806,"Buncombe",c(281991.026967248, 206937.905160833)
"Gift of Knowledge Academy","3026 Wake Forest Highway","Durham",27703,"Durham",c(623940.763137191, 248069.941486578)
"American Hebrew Academy","4334 Hobbs Road","Greensboro",27410,"Guilford",c(531132.035617867, 261921.809204539)
"Global Montessori Academy","6453 NC Hwy 55","Durham",27713,"Durham",c(618954.548347387, 238477.337340616)
"Gorman Christian Academy","3311 East Geer Street","Durham",27704,"Durham",c(626327.429132636, 254424.047675373)
"Odyssey Community School","90 Zillicoa St.","Asheville",28801,"Buncombe",c(286435.906982453, 212184.795011997)
"B'nai Shalom Day School","804-A Winview Drive","Greensboro",27410,"Guilford",c(532371.00692823, 260247.28364405)
"Hill Center","3200 Pickett Road","Durham",27705,"Durham",c(612198.120038919, 246888.746838601)
"Providence Christian Academy","48 Woodland Hills Road","Asheville",28804,"Buncombe",c(285016.513949097, 219434.16129669)
"Immaculata Catholic School","721 Burch Avenue","Durham",27701,"Durham",c(617402.74296358, 249394.343011204)
"Epiphany School of Global Studies","2301 Trent Road","New Bern",28562,"Craven",c(785030.198364368, 151712.68801301)
"International Montessori School","3001 Academy Rd. Suite 300","Durham",27707,"Durham",c(614685.59649538, 246318.521320034)
"Brittain Academy","155 Northpoint Avenue, Suite 105","High Point",27262,"Guilford",c(517406.455744975, 248734.472633952)
"Just Right Academy","P.O. Box 3523","Chapel Hill",27515,"Durham",c(606764.513417518, 241589.60357126)
"Kids R Kids RTP School","2502 Presidential Drive","Durham",27703,"Durham",c(623905.077028813, 241193.095571391)
"Rainbow Community School","574 Haywood Road","Asheville",28806,"Buncombe",c(284598.822335766, 208704.514563683)
"Bryan School","324 S. Elm Street Suite 300","Greensboro",27408,"Guilford",c(538395.240302887, 257582.579022409)
"Kingdom School of Leadership","3026 Holloway St.","Durham",27703,"Durham",c(623948.185535563, 248068.000986869)
"Lerner School","1935 W. Cornwallis Road","Durham",27705,"Durham",c(613762.456014546, 247573.439264858)
"Liberty Christian School","81 Shepard Street","Havelock",28532,"Craven",c(801866.9441634, 124862.057317382)
"Caldwell Academy","2900 Horse Pen Creek Rd.","Greensboro",27410,"Guilford",c(529797.760449497, 265019.92296198)
"Reynolds Mountain Christ. Acad.","20 Reynolds Mountain Blvd.","Asheville",28804,"Buncombe",c(285735.439967194, 216169.560778141)
"Liberty Christian School","3864 Guess Road","Durham",27705,"Durham",c(615960.983892259, 256470.151910339)
"Lighted Pathway Academy","3501 S. Alston Avenue","Durham",27704,"Durham",c(619946.552798051, 242295.456199899)
"Montessori Children's House Sch.","2800 Pickett Road","Durham",27705,"Durham",c(613897.051472679, 246797.195829984)
"Montessori Community School","4512 Pope Road","Durham",27707,"Durham",c(609748.464487146, 242212.596987627)
"Canterbury School","5400 Old Lake Jeanette Road","Greensboro",27455,"Guilford",c(538126.933887123, 265824.49586153)
"Stone Mountain School","126 Camp Elliott Road","Black Mountain",28711,"Buncombe",c(318867.874555403, 201630.748727392)
"Montessori Farm School","2400 Broad Street, Suite 2","Durham",27704,"Durham",c(617629.366977359, 253099.903008493)
"New Bern Christian Academy","2911 Old Cherry Point Rd.","New Bern",28560,"Craven",c(790823.711207635, 147107.717617936)
"Mount Zion Christian Academy","3519 Fayetteville Street","Durham",27707,"Durham",c(617968.834763256, 244702.258313708)
"Career Academy of Greensboro","1305 Julian Street","Greensboro",27406,"Guilford",c(540141.630713745, 256502.646126954)
"Swannanoa Christian Academy","P.O. Box 969","Swannanoa",28778,"Buncombe",c(301433.37881602, 210717.509277405)
"New Horizons Acad of Excellence","4005 Holt School Road","Durham",27704,"Durham",c(618136.333612737, 255713.089736693)
"Our Playhouse Preschool & Kindergarten","2400 University Drive","Durham",27707,"Durham",c(616601.537093646, 246895.244863588)
"Ruth's Chapel Christian Sch.","2709 Oaks Road","New Bern",28560,"Craven",c(786078.984388454, 154568.462964782)
"Quality Education Institute","800 Elmira Avenue","Durham",27707,"Durham",c(618575.152445939, 245472.422537398)
"Southpoint Academy","7415 Fayetteville Road","Durham",27713,"Durham",c(614763.904936, 237756.537165903)
"Carter's Circle of Care Day Treat.","200 Fisher Ave. Suite 104","High Point",27602,"Guilford",c(517322.597751409, 247959.887301032)
"St. Paul Catholic Education Ctr","3007 Country Club Road","New Bern",28562,"Craven",c(785571.502208155, 149715.060742561)
"Swannanoa Valley Montessori Sch","101 Carver Avenue","Black Mountain",28711,"Buncombe",c(307041.938748582, 211993.925352506)
"St. SYA Academy II","3102 Cedarwood Drive","Durham",27707,"Durham",c(617262.108810196, 244412.081388142)
"Strait Path Academy","145 Jonestown Road","Dover",28526,"Craven",c(759614.740384271, 171006.249948205)
"Charlotte Sports Academy","900 16th Street","Greensboro",27405,"Guilford",c(539550.095924305, 261980.478862571)
"Tabernacle of Life Chr. Sch.","2400 Sovereign Street","Durham",27705,"Durham",c(615921.584136082, 252638.016236834)
"Treasures of Joy Christian Academy","3528 Arlington Place","Durham",27707,"Durham",c(617853.24938837, 244719.428911943)
"Triangle Day School","4911 Neal Road","Durham",27705,"Durham",c(612049.036169064, 252760.139175568)
"Temple Baptist School","985 1/2 Patton Avenue","Asheville",28806,"Buncombe",c(284352.603096349, 209654.067165624)
"Trinity School of Durham & CH","4011 Pickett Road","Durham",27705,"Durham",c(610277.118652033, 246935.468260521)
"Covenant Christian Day School","1414 Cliffwood Drive","Greensboro",27406,"Guilford",c(535958.538470423, 254166.050891733)
"Swift Creek Mennonite School","1283 Honolulu Road","Grifton",28530,"Craven",c(765083.42616966, 180590.278144615)
"Tutorial -1/2 Christian Schools","6500 Englehardt Drive","Raleigh",27617,"Durham",c(632728.237709162, 239868.308408419)
"Timbersong Academy","531 Upper Flat Creek Rd.","Weaverville",28787,"Buncombe",c(292393.670076774, 227281.393670853)
"Union Independent School","311 Dowd Street","Durham",27701,"Durham",c(619263.0535684, 249645.13322581)
"Crusade Baptist Academy","2919 Huffine Mill Rd.","Gibsonville",27249,"Guilford",c(551217.268200686, 266136.235990269)
"Academy at New Life","PO Box 622","Hope Mills",28348,"Cumberland",c(614526.203367179, 135261.970500676)
"Veritas Collaborative School","4024 Stirrup Creek Drive","Durham",27703,"Durham",c(623839.958831778, 240537.353614062)
"Berean Christian School","4135 Thomasville Road","Winston-Salem",27107,"Forsyth",c(502970.53780814, 254771.21085494)
"Bishop McGuinness Catholic H. S.","1725 NC Highway 66 South","Kernersville",27284,"Forsyth",c(513896.286341082, 258739.373445453)
"Faith Christian Academy","512 Kivet Dairy Road","McLeansville",27301,"Guilford",c(550832.591337715, 256876.385681212)
"Christ Classical Academy","PO Box 2275","Morganton",28680,"Burke",c(365048.30476029, 225066.513969004)
"Adventist Christian School","2601 Lone Pine Dr.","Fayetteville",28306,"Cumberland",c(617996.719898816, 140861.811727768)
"Brookside Montessori School","736 Piney Grove Road","Kernersville",27284,"Forsyth",c(513332.587461008, 265438.395821948)
"God's Heritage Christian Dayschool","3717 Sunnycrest Ave.","Greensboro",27405,"Guilford",c(542381.117980462, 259389.493073821)
"Calvary Day School","5000 Country Club Road","Winston-Salem",27104,"Forsyth",c(488028.030758445, 259819.686493479)
"Hand in Hand Day Treatment Sch","205 S. Main Street","Drexel",28619,"Burke",c(374071.81616117, 225655.806940917)
"Cedar Forest Christian School","4634 Shattalon Drive","Winston-Salem",27106,"Forsyth",c(489552.500757365, 268310.122260293)
"Bal-Perazim Christian Academy","4921 Bragg Boulevard","Fayetteville",28303,"Cumberland",c(613731.821545058, 148857.285651211)
"Greater Vision Academy","2367 Wagoner Rd.","Gibsonville",27249,"Guilford",c(558605.794884057, 263617.3027134)
"Elite Preparatory Academy","704 Bank Street","Winston Salem",27101,"Forsyth",c(497084.176937081, 260049.862113168)
"Ephesus Junior Academy","1225 North Cleveland Avenue","Winston-Salem",27101,"Forsyth",c(498804.669008146, 262573.267749228)
"Eunice Kennedy Shriver Day School","725 Waughtown Street","Winston-Salem",27107,"Forsyth",c(499416.166111316, 257996.930117596)
"Berean Baptist Academy","518 Glensford Drive","Fayetteville",28314,"Cumberland",c(612988.338347351, 144981.230706371)
"Greensboro Day School","5401 Lawndale Drive","Greensboro",27455,"Guilford",c(534387.873797226, 266687.453234633)
"Faith Academy Christian School","2305 Elbon Drive","Winston-Salem",27105,"Forsyth",c(500285.359209202, 263652.585797057)
"First Christian Academy","1130 N. Main Street","Kernersville",27284,"Forsyth",c(515057.276495935, 265563.799669268)
"Forsyth Country Day School","P.O. Box 549","Lewisville",27023,"Forsyth",c(482070.642745311, 261324.703557881)
"Cape Fear Christian School","301 Hope Mills Road","Fayetteville",28304,"Cumberland",c(613166.408780266, 143098.961513586)
"Greensboro Islamic Academy","2023 16th Street","Greensboro",27405,"Guilford",c(541258.52975537, 261682.46619997)
"Greensboro Montessori School","2856 Horse Pen Creek Rd.","Greensboro",27410,"Guilford",c(529764.326749394, 264547.529563567)
"Clearview Christian Academy","3353 Dunn Road","Eastover",28312,"Cumberland",c(628813.230770971, 148581.689679416)
"Guess Community Services Sch","3818 North Elm St., Ste. C","Greensboro",27455,"Guilford",c(537725.076170383, 265670.063200809)
"College Lakes Christian Academy","4704 Ramsey Street","Fayetteville",28311,"Cumberland",c(620596.367313423, 152512.186250428)
"Johnathan's House Christian Acad","P.O. Box 42","Kipling",27543,"Harnett",c(625910.936083277, 191812.636525517)
"Learning Time Academy","P.O. Box 1685","Fuquay-Varina",27526,"Harnett",c(627825.934652299, 203058.522455772)
"Victory Christian Academy","PO Box 298","Lillington",27546,"Harnett",c(626007.272420972, 182998.950436966)
"Hayworth Christian School","1696 Westchester Drive","High Point",27262,"Guilford",c(516349.542006964, 244437.43066965)
"Aspire Day School","P.O. Box 250","Balsam",28707,"Haywood",c(238859.097804928, 193889.193187973)
"Bethel Christian Academy","100 Park Street","Canton",28716,"Haywood",c(261233.175401825, 204377.1922889)
"Cornerstone Christian Academy","3000 Scotty Hill Road","Fayetteville",28303,"Cumberland",c(616237.468784897, 147733.945257602)
"Blue Ridge Adventist Christian School","119 Hampshire Drive","Waynesville",28786,"Haywood",c(247785.667018324, 204048.112874938)
"Haywood Christian Academy","P.O. Box 609","Lake Junaluska",28745,"Haywood",c(249402.387079823, 204081.830454012)
"High Point Christian Academy","800 Phillips Avenue","High Point",27262,"Guilford",c(517072.387354534, 244553.197834216)
"St. Joseph Academy","175 Rich Cove Road","Maggie Valley",28751,"Haywood",c(238250.872515427, 204049.214955173)
"Academy at Trails Carolina","555 Sky Valley Camp Road","Hendersonville",28739,"Henderson",c(285278.002220187, 167117.851552097)
"Destiny Now Academy","2567 Owen Drive","Fayetteville",28306,"Cumberland",c(617832.909331039, 140643.54917782)
"Aiglon Training Academy","P.O. Box 5282","Hendersonville",28792,"Henderson",c(295220.401532872, 179579.618123367)
"Canongate Catholic High School","4110 Hendersonville Rd. Ste. 10","Fletcher",28732,"Henderson",c(291603.990102874, 191444.160045076)
"High Point Friends School","800-A Quaker Lane","High Point",27262,"Guilford",c(517420.396698132, 245762.353270132)
"Captain Gilmer School","P.O. Box 5338","Fletcher",28732,"Henderson",c(291235.127190568, 192537.757217187)
"Emmanuel Outreach Prep School","4761 Draughon Road","Fayetteville",28312,"Cumberland",c(632781.583503626, 148173.630406586)
"His Village Academy","P.O. Box 201","Jamestown",27282,"Guilford",c(525326.331974191, 249927.848360457)
"Faith-Covenant Christian Academy","PO Box 6852","Hendersonville",28793,"Henderson",c(295456.22188205, 179458.882346798)
