"SchoolName","Address","City","Zipcode","County","geometry"
"South Elementary","8925 NC Hwy 86 S","Mebane",27302,"Caswell",c(588136.437600002, 286138.093600001)
"North Elementary","10390 NC Hwy 86 N","Providence",27315,"Caswell",c(574052.812600002, 308418.062399998)
"John A Holmes High","600 Woodard Street","Edenton",27932,"Chowan",c(825355.062700003, 259577.8906)
"Acme Delco Elementary","16337 Old Lake Road","Riegelwood",28456,"Columbus",c(678191.250100002, 66569.6017000005)
"Acme Delco Middle","26133 Andrew Jackson Hwy","Delco",28436,"Columbus",c(681729.750100002, 63057.7853000015)
"Evergreen Elementary","7211 Old 74 Hwy","Evergreen",28438,"Columbus",c(618903.75, 72942.2734000012)
"Chadbourn Elementary","409 E Third Avenue","Chadbourn",28431,"Columbus",c(626111.624899998, 63842.0078000017)
"West Columbus High","7294 Andrew Jackson Hwy","Cerro Gordo",28430,"Columbus",c(616585.499899998, 64154.1328000017)
"Cerro Gordo Elementary","7685 Andrew Jackson Hwy","Cerro Gordo",28430,"Columbus",c(615950.249799997, 64243.8359000012)
"South Columbus High","40 Stallion Drive","Tabor City",28463,"Columbus",c(626479.5625, 47039.6094999984)
"HallsboroArtesia Elementary","1337 Giles Byrd Road","Hallsboro",28442,"Columbus",c(648345.812299997, 62314.6094999984)
"Hallsboro Middle","89 School Road","Hallsboro",28442,"Columbus",c(647047.812600002, 63373.7346000001)
"Boys and Girls Homes","Flemington Drive","Lake Waccamaw",28450,"Columbus",c(653482.937399998, 63258.5313999988)
"East Columbus High","32 Gator Lane","Lake Waccamaw",28450,"Columbus",c(655446.562600002, 65123.2773000002)
"Williams Township","10400 James B White Hwy","Whiteville",28472,"Columbus",c(631352.093999997, 50424.3482000008)
"Louisburg Elementary","50 Stone Southerland Road","Louisburg",27549,"Franklin",c(672542.188299999, 258548.058899999)
"Franklinton High","910 Cedar Creek Road","Franklinton",27525,"Franklin",c(658468, 261295.8906)
"Edward Best Elementary","4011 NC 56 Hwy East","Louisburg",27549,"Franklin",c(684663.999799997, 260374.0156)
"Pollocksville Elementary","300 Trent St","Pollocksville",28573,"Jones",c(771617.999799997, 140609.656199999)
"Comfort Elementary","4384 Hwy 41 West","Comfort",28522,"Jones",c(745657.125200003, 140223.8904)
"Jones Senior High","1490 Hwy 58 South","Trenton",28585,"Jones",c(761641.0163, 143715.527100001)
"Jones Middle","190 Old New Bern Rd","Trenton",28585,"Jones",c(760256.249899998, 147400.6406)
"Trenton Elementary","188 Elementary Sch Lane","Trenton",28585,"Jones",c(760348.187299997, 147206.578000002)
"Maysville Elementary","814 Sixth Street","Maysville",28555,"Jones",c(770666.625, 129527.1252)
"Riverside High","200 Godwin Ave","Williamston",27892,"Martin",c(783834.750100002, 233162.546999998)
"Williamston Primary","400 West Blvd","Williamston",27892,"Martin",c(783677.812600002, 233804.765799999)
"Edna Andrews Elementary","306 S Horton St","Hamilton",27840,"Martin",c(771409.750100002, 244360.5779)
"South Creek High","21077 NC Hwy 903","Robersonville",27871,"Martin",c(768214.1875, 235131.4219)
"East End Elementary","1121 Third Street Extension","Robersonville",27871,"Martin",c(768369.75, 231361.531199999)
"South Creek Middle","21230 NC 903","Robersonville",27871,"Martin",c(767782.564800002, 234968.726)
"Rodgers Elementary","2277 Rodgers School Rd","Williamston",27892,"Martin",c(783421.375100002, 227038.312399998)
"Cedar Grove Elementary","8967 Cedar Grove Sch Loop Rd","Nashville",27856,"Nash",c(702476.25, 258793.25)
"Red Oak Elementary","5603 Red Oak Road","Red Oak",27868,"Nash",c(708349.375, 254534.3596)
"Bailey Elementary","6288 Pine Street","Bailey",27807,"Nash",c(689638.625100002, 225739.9377)
"Middlesex Elementary","13081 West Hanes Avenue","Middlesex",27557,"Nash",c(680735.000100002, 226248.203000002)
"Southern Nash Middle","5301 South NC Highway 581","Spring Hope",27882,"Nash",c(691789.500100002, 236189.624899998)
"Southern Nash High","6446 Southern Nash High Road","Bailey",27807,"Nash",c(692017.749899998, 233478.218899999)
"Spring Hope Elementary","401 McLean Street","Spring Hope",27882,"Nash",c(689958.937600002, 244553.609200001)
"Coopers Elementary","6833 NC Highway 58","Elm City",27822,"Nash",c(704541.249899998, 237380.906100001)
"Northern Nash High","4230 Green Hills Road","Rocky Mount",27804,"Nash",c(709531.750100002, 249988.374899998)
"Conway Middle","400 East Main Street","Conway",27820,"Northampton",c(768881.312299997, 299634.562399998)
"Gaston Elementary","400 Broughton Street","Gaston",27832,"Northampton",c(730844.750100002, 305675.843600001)
"Northampton High East","750 NCHSE Road","Conway",27820,"Northampton",c(760563.187600002, 298326.687600002)
"Squire Elementary","4671 NC 46 Hwy W","Gaston",27832,"Northampton",c(729113.687600002, 306455.000100002)
"Willis Hare Elementary","479 Willis Hare Road","Pendleton",27862,"Northampton",c(771854.497900002, 304156.276000001)
"Hunters Creek Middle","4040 Hunters Trail","Jacksonville",28546,"Onslow",c(761772.582900003, 111038.4474)
"Morton Elementary","485 Old 30 Road","Jacksonville",28546,"Onslow",c(764380.187399998, 114448.421700001)
"Swansboro Elementary","118 School Rd","Swansboro",28584,"Onslow",c(778837.499799997, 107435.75)
"Swansboro High","161 Queens Creek Rd","Swansboro",28584,"Onslow",c(778642.749899998, 106786.273200002)
"Richlands Elementary","110 E Foy Street","Richlands",28574,"Onslow",c(742789.687399998, 128500.75)
"Richlands High","8100 Richlands Hwy","Richlands",28574,"Onslow",c(742646.437299997, 127664.609299999)
"Summersill Elementary","250 Summersill School Road","Jacksonville",28540,"Onslow",c(749878.062600002, 118995.843600001)
"Trexler Middle","112 E Foy St","Richlands",28574,"Onslow",c(742997.874799997, 128404.4142)
"Central Elementary","1059 US Hwy 17","Elizabeth City",27909,"Pasquotank",c(855465.937399998, 284965.687399998)
"Weeksville Elementary","1170 Salem Church Rd","Elizabeth City",27909,"Pasquotank",c(864276.187700003, 276007.094000001)
"Parkton Elementary","400 Green St","Parkton",28371,"Robeson",c(608987.187299997, 127962.6404)
"Saint Pauls Elementary","222 Martin Luther King Drive","Saint Pauls",28384,"Robeson",c(613086.374899998, 117311.281199999)
"RexRennert Elementary","11780 Rennert Road","Shannon",28386,"Robeson",c(601473.187600002, 121331.288899999)
"South Robeson High","3268 South Robeson Rd","Rowland",28383,"Robeson",c(586256.375200003, 88232.3748999983)
"Southside/Ashpole Elem","607 S Martin L King Jr St","Rowland",28383,"Robeson",c(582251.749799997, 86836.5782999992)
"Fairmont High","5419 Old Stage Road","Fairmont",28340,"Robeson",c(600865, 80873.0778999999)
"Orrum Middle","1684 South Creek Road","Orrum",28369,"Robeson",c(608646.125100002, 79260.1328000017)
"Long Branch Elementary","10218 NC 72 East","Lumberton",28358,"Robeson",c(613459.312600002, 87438.2109999992)
"East Robeson Primary","4840 7th Street Road","Lumberton",28358,"Robeson",c(616581.125100002, 97024.8438000008)
"Littlefield Middle","9674 NC Hwy 41 N","Lumberton",28358,"Robeson",c(617248.312299997, 99322.9063000008)
"Purnell Swett High","11344 Deep Branch Road","Pembroke",28372,"Robeson",c(587012.937299997, 104892.281300001)
"Pembroke Elementary","505 South Jones Street","Pembroke",28372,"Robeson",c(591836.1875, 102613.3906)
"Pembroke Middle","8910 Deep Branch Road","Pembroke",28372,"Robeson",c(590332.875, 102602.734499998)
"R B Dean Elementary","202 S Hooper St","Maxton",28364,"Robeson",c(578024.75, 109052.359499998)
"Oxendine Elementary","5599 Oxendine School Rd","Maxton",28364,"Robeson",c(585983.3125, 117133.640799999)
"W H Knuckles","1520 Martin L King Dr","Lumberton",28358,"Robeson",c(607566.5625, 95473.6403999999)
"Union Elementary","2547 NC Hwy 710 South","Rowland",28383,"Robeson",c(586960.625100002, 98246.3671000004)
"Magnolia Elementary","10928 US 301 North","Lumberton",28360,"Robeson",c(609270.500200003, 106654.929499999)
"Piney Grove Elementary","1680 Piney Grove Road","Lumberton",28358,"Robeson",c(606087.124799997, 103908.999899998)
"Robeson Co Career Ctr","1339 Hilly Branch Road","Lumberton",28359,"Robeson",c(598311.187299997, 93240.0623000003)
"Salemburg Elementary","404 College Street","Salemburg",28385,"Sampson",c(655436.304799996, 140410.508299999)
"Roseboro Elementary","180 Butler Island Road","Roseboro",28382,"Sampson",c(653124.499899998, 133776.3281)
"Tyrrell Elementary","486 Elementary School Road","Columbia",27925,"Tyrrell",c(858431.937600002, 243500.2498)
"South Warren Elementary","216 Shocco Springs Rd","Warrenton",27589,"Warren",c(681488.687600002, 285403.593800001)
"Northside Elementary","164 Elementary Ave","Norlina",27563,"Warren",c(682693.125100002, 300579.906199999)
"Vaughan Elementary","2936 US Hwy 158E","Macon",27551,"Warren",c(699395.749899998, 296827.218800001)
"Warren County High","149 Campus Drive","Warrenton",27589,"Warren",c(684416.8125, 297908.125)
"Warren County Middle","118 Campus Drive","Warrenton",27589,"Warren",c(683951.875, 297759.1875)
"Creswell High","115 West Middle Street","Creswell",27928,"Washington",c(844726.937700003, 238141.718800001)
"Pines Elementary","3177 US Hwy 64E","Plymouth",27962,"Washington",c(817926.125100002, 237915.906199999)
"Washington County Union","37 E Mill Pond Rd","Roper",27970,"Washington",c(825389.000100002, 237905.359299999)
"Plymouth High","E Main St","Plymouth",27962,"Washington",c(813743.25, 237541.9375)
"Aurelian Springs Elementary","10536 Hwy 48","Littleton",27850,"Halifax",c(716619.499899998, 290592.9373)
"Scotland Neck Primary","901 Jr High Sch Rd","Scotland Neck",27874,"Halifax",c(751084.0625, 264809.875)
"Hollister Elementary","37432 Hwy 561","Hollister",27844,"Halifax",c(704668.062299997, 278694.187399998)
"Southeast Halifax High","16683 Hwy 125","Halifax",27839,"Halifax",c(739903.8125, 274900.750100002)
"Enfield Middle","13723 Hwy 481","Enfield",27823,"Halifax",c(726794.818999998, 270044.394200001)
"Northwest High","8492 Hwy 48","Littleton",27850,"Halifax",c(718167.3125, 293309.156399999)
"Everetts Elementary","458 Everetts School Rd","Roanoke Rapids",27870,"Halifax",c(720902.25, 299458.843699999)
"Pittman Elementary","25041 Hwy 561","Enfield",27823,"Halifax",c(722583.187299997, 279638.874899998)
"William R Davie Middle","4391 Hwy 158","Roanoke Rapids",27870,"Halifax",c(722078.124799997, 299676.6877)
"Anderson Creek Primary","914 Anderson Creek Sch Rd","Bunnlevel",28323,"Harnett",c(617103.325000003, 169974.0218)
"South Harnett Elementary","8335 NC 210 South","Bunnlevel",28323,"Harnett",c(619191.125, 171721.874899998)
"Angier Elementary","130 E McIver St","Angier",27501,"Harnett",c(633567.312700003, 194597.859200001)
"LaFayette Elementary","108 LaFayette Sch Rd","Kipling",27543,"Harnett",c(626634.062700003, 193646.9531)
"North Harnett Primary","282 N Harnett School Rd","Angier",27501,"Harnett",c(629607.125200003, 191705.046999998)
"Johnsonville Elementary","18495 NC HWY 27 West","Cameron",28326,"Harnett",c(600626.749899998, 171964.453000002)
"Benhaven Elementary","2815 Olivia Road","Olivia",28368,"Harnett",c(601079.312600002, 178509.796700001)
"Boone Trail Elementary","1425 Adcock Road","Lillington",27546,"Harnett",c(613188.624799997, 185015.437399998)
"Buies Creek Elementary","340 Main Street","Buies Creek",27506,"Harnett",c(633571.875, 184376.9221)
"Coats Elementary","585 Brick Mill Road","Coats",27521,"Harnett",c(639387.75, 184574.031399999)
"Gentry Primary","114 Porter Drive","Erwin",28339,"Harnett",c(639537.187299997, 176167.5781)
"Triton High","215 Maynard Lake Road","Erwin",28339,"Harnett",c(640046.187600002, 176266.093600001)
"Hawk Eye Elementary","4321 Old Maxton Road","Red Springs",28377,"Hoke",c(585410.187299997, 129260.593699999)
"West Hoke Middle","200 NC 211 W","Raeford",28376,"Hoke",c(586959.5, 137134.734499998)
"East Hoke Middle","4702 Fayetteville Rd","Raeford",28376,"Hoke",c(593989.375, 139346.843699999)
"Cameron Elementary","2636 NC Hwy 24 27","Cameron",28326,"Moore",c(585400.312600002, 174900.218800001)
"Carthage Elementary","312 Rockingham St","Carthage",28327,"Moore",c(571754.249899998, 176560.0627)
"Elise Middle","180 W Elm St","Robbins",27325,"Moore",c(556102.562299997, 187193.671999998)
"North Moore High","1504 North Moore Rd","Robbins",27325,"Moore",c(559355.437700003, 190678.546700001)
"Highfalls Elementary","1220 NC Hwy 22","Highfalls",27259,"Moore",c(562066.687600002, 192718.5)
"Robbins Elementary","268 Rushwood Rd","Robbins",27325,"Moore",c(557523.1875, 185346.718600001)
"Pinecrest High","250 Voit Gilmore Lane","Southern Pines",28387,"Moore",c(570061.6875, 159234.156100001)
"West End Elementary","4483 NC Hwy 211","West End",27376,"Moore",c(556726.062600002, 167719.624899998)
"Westmoore Elementary","2159 NC Hwy 705","Seagrove",27341,"Moore",c(547325, 192780.968600001)
"Helena Elementary","355 Helena Moriah Rd","Timberlake",27583,"Person",c(613764.937299997, 281489.718800001)
"Northern Middle","1935 Carver Dr","Roxboro",27574,"Person",c(611566.562299997, 297119.999899998)
"Oak Lane Elementary","2076 Jim Morton Rd","Hurdle Mills",27541,"Person",c(600923.624899998, 280040.718899999)
"Southern Middle","209 Southern Middle Sch Rd","Roxboro",27573,"Person",c(610320, 291608.437399998)
"Woodland Elementary","7391 Semora Rd","Semora",27343,"Person",c(602218.812399998, 300889.906100001)
"Perquimans County Middle","312 W Main Street","Winfall",27985,"Perquimans",c(836876.812299997, 277104.6873)
"Perquimans County High","305 Edenton Road St","Hertford",27944,"Perquimans",c(836779.812399998, 272915.781199999)
"Deep Branch Elementary","4045 Deep Branch Road","Lumberton",28360,"Robeson",c(596242.8125, 97751.2344000004)
"Western Alamance High","1731 N NC 87","Elon",27244,"Alamance",c(564760.375100002, 266705.3748)
"Altamahaw Ossipee Elem","2832 N NC 87","Elon",27244,"Alamance",c(563570.437399998, 269613.781300001)
