Zipcode.x,SchoolName,Zipcode_first,Address,City,Zipcode.y,County,X,Y
27607,Dillard Drive Middle,276,5200 Dillard Drive,Raleigh,27606,Wake,-78.72508166,35.75218212
27606,Dillard Drive Middle,276,5200 Dillard Drive,Raleigh,27606,Wake,-78.72508166,35.75218212
27610,Dillard Drive Middle,276,5200 Dillard Drive,Raleigh,27606,Wake,-78.72508166,35.75218212
27610,Dillard Drive Middle,276,NA,NA,NA,NA,-78.72508166,35.75218212
27591,Dixon Elementary,275,NA,NA,NA,NA,-77.443395,34.559561
27591,Dixon Middle,275,NA,NA,NA,NA,-77.436002,34.54303
27610,Douglas Elementary,276,600 Ortega Rd,Raleigh,27609,Wake,-78.629697,35.84078475
27604,Douglas Elementary,276,600 Ortega Rd,Raleigh,27609,Wake,-78.629697,35.84078475
27610,Douglas Elementary,276,600 Ortega Rd,Raleigh,27609,Wake,-78.629697,35.84078475
27604,Douglas Elementary,276,600 Ortega Rd,Raleigh,27609,Wake,-78.629697,35.84078475
27615,Douglas Elementary,276,600 Ortega Rd,Raleigh,27609,Wake,-78.629697,35.84078475
27616,Douglas Elementary,276,600 Ortega Rd,Raleigh,27609,Wake,-78.629697,35.84078475
27615,Douglas Elementary,276,600 Ortega Rd,Raleigh,27609,Wake,-78.629697,35.84078475
27610,Durant Road Elementary,276,NA,NA,NA,NA,-78.58027177,35.90029872
27604,Durant Road Middle,276,NA,NA,NA,NA,-78.58771477,35.90345425
27604,Durant Road Elementary,276,9901 Durant Rd,Raleigh,27614,Wake,-78.58027177,35.90029872
27610,Durant Road Elementary,276,9901 Durant Rd,Raleigh,27614,Wake,-78.58027177,35.90029872
27604,Durant Road Elementary,276,9901 Durant Rd,Raleigh,27614,Wake,-78.58027177,35.90029872
27610,Durant Road Middle,276,10401 Durant Rd,Raleigh,27614,Wake,-78.58771477,35.90345425
27610,Durant Road Middle,276,10401 Durant Rd,Raleigh,27614,Wake,-78.58771477,35.90345425
27513,East Cary Middle,275,1111 SE Maynard Road,Cary,27511,Wake,-78.76596513,35.77973363
27606,East Cary Middle,276,NA,NA,NA,NA,-78.76596513,35.77973363
27610,East Cary Middle,276,NA,NA,NA,NA,-78.76596513,35.77973363
27606,East Clayton Elementary,276,NA,NA,NA,NA,-78.402564,35.649025
27610,East Garner Elementary,276,NA,NA,NA,NA,-78.58769042,35.70773229
27601,East Garner Elementary,276,NA,NA,NA,NA,-78.58769042,35.70773229
27612,East Garner Elementary,276,NA,NA,NA,NA,-78.58769042,35.70773229
27610,East Garner Elementary,276,NA,NA,NA,NA,-78.58769042,35.70773229
27601,East Garner Elementary,276,NA,NA,NA,NA,-78.58769042,35.70773229
27610,East Garner Elementary,276,NA,NA,NA,NA,-78.58769042,35.70773229
27603,East Garner Elementary,276,NA,NA,NA,NA,-78.58769042,35.70773229
27529,East Garner Elementary,275,5545 Jones Sausage Road,Garner,27529,Wake,-78.58769042,35.70773229
27610,East Garner Elementary,276,NA,NA,NA,NA,-78.58769042,35.70773229
27529,East Garner Elementary,275,5545 Jones Sausage Road,Garner,27529,Wake,-78.58769042,35.70773229
27610,East Garner Elementary,276,NA,NA,NA,NA,-78.58769042,35.70773229
27601,East Garner Middle,276,NA,NA,NA,NA,-78.58609285,35.70234529
27518,East Garner Middle,275,6301 Jones Sausage Rd,Garner,27529,Wake,-78.58609285,35.70234529
