SCHOOL CODE,SCHOOL NAME,SCHOOL LEVEL,FREE and REDUCED,FR PERCENTAGE,,,,,,,,,,,,,,,,
920592,Wake Forest Middle,M,455, 39.1%,,,,,,,,,,,,,,,,
920582,Wake STEM Early College High School,H,42, 16.4%,,,,,,,,,,,,,,,,
920585,Wake Young Men's Leadership Academy,MH,78, 28.5%,,,,,,,,,,,,,,,,
920586,Wake Young Women's Leadership Academy,MH,116, 31.4%,,,,,,,,,,,,,,,,
920593,Wakefield Elementary,E,226, 38.2%,,,,,,,,,,,,,,,,
920595,Wakefield High,H,502, 25.1%,,,,,,,,,,,,,,,,
920594,Wakefield Middle,M,179, 19.2%,,,,,,,,,,,,,,,,
920597,Wakelon Elementary,E,309, 61.0%,,,,,,,,,,,,,,,,
920599,Walnut Creek Elementary,E,385, 71.7%,,,,,,,,,,,,,,,,
920596,Washington Elementary,E,127, 23.4%,,,,,,,,,,,,,,,,
920598,Weatherstone Elementary,E,158, 20.9%,,,,,,,,,,,,,,,,
920600,Wendell Elementary,E,190, 46.2%,,,,,,,,,,,,,,,,
920601,Wendell Middle,M,414, 52.7%,,,,,,,,,,,,,,,,
920604,West Cary Middle,M,188, 21.6%,,,,,,,,,,,,,,,,
920606,West Lake Elementary,E,99, 14.6%,,,,,,,,,,,,,,,,
920607,West Lake Middle,M,304, 28.0%,,,,,,,,,,,,,,,,
920608,West Millbrook Middle,M,345, 36.7%,,,,,,,,,,,,,,,,
920614,White Oak Elementary,E,11,  1.5%,,,,,,,,,,,,,,,,
920616,Wilburn Elementary,E,405, 65.6%,,,,,,,,,,,,,,,,
920618,Wildwood Forest Elementary,E,395, 63.4%,,,,,,,,,,,,,,,,
920620,Wiley Elementary,E,130, 35.1%,,,,,,,,,,,,,,,,
920624,Willow Springs Elementary,E,118, 20.7%,,,,,,,,,,,,,,,,
920626,Yates Mill Elementary,E,168, 36.6%,,,,,,,,,,,,,,,,
920628,York Elementary,E,155, 36.1%,,,,,,,,,,,,,,,,
920632,Zebulon Elementary,E,270, 56.6%,,,,,,,,,,,,,,,,
920636,Zebulon Middle,M,410, 55.9%,,,,,,,,,,,,,,,,
 ,TOTAL, ,"43,892", 27.7%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
